Symbol,Name,Sector,Manual,Pipe,Concatenate,Manual Final,,,,
BAC,Bank of America Corp,Financials,b of a,|,b of a|,b of a|,"""","""",",","""b of a"","
BAX,Baxter International Inc.,Health Care,baxter,|,baxter|,baxter|,"""","""",",","""baxter"","
BBT,BB&T Corporation,Financials,bb&t,|,bb&t|,bb&t|,"""","""",",","""bb&t"","
BDX,Becton Dickinson,Health Care,becton,|,becton|,becton|,"""","""",",","""becton"","
BRK.B,Berkshire Hathaway,Financials,berkshire hathaway,|,berkshire hathaway|,berkshire hathaway|,"""","""",",","""berkshire hathaway"","
BBY,Best Buy Co. Inc.,Consumer Discretionary,best buy,|,best buy|,best buy|,"""","""",",","""best buy"","
BIIB,Biogen Inc.,Health Care,biogen,|,biogen|,biogen|,"""","""",",","""biogen"","
BLK,BlackRock,Financials,black rock,|,black rock|,black rock|,"""","""",",","""black rock"","
HRB,Block H&R,Financials,h&r block,|,h&r block|,h&r block|,"""","""",",","""h&r block"","
BA,Boeing Company,Industrials,boeing,|,boeing|,boeing|,"""","""",",","""boeing"","
BKNG,Booking Holdings Inc,Consumer Discretionary,booking holdngs,|,booking holdngs|,booking holdngs|,"""","""",",","""booking holdngs"","
BWA,BorgWarner,Consumer Discretionary,borgwarner,|,borgwarner|,borgwarner|,"""","""",",","""borgwarner"","
BXP,Boston Properties,Real Estate,boston properties,|,boston properties|,boston properties|,"""","""",",","""boston properties"","
BSX,Boston Scientific,Health Care,boston scientific,|,boston scientific|,boston scientific|,"""","""",",","""boston scientific"","
BHF,Brighthouse Financial Inc,Financials,brighthouse financial,|,brighthouse financial|,brighthouse financial|,"""","""",",","""brighthouse financial"","
BMY,Bristol-Myers Squibb,Health Care,bms,|,bms|,bms|,"""","""",",","""bms"","
BMY,Bristol-Myers Squibb,Health Care,bristol myers,|,bristol myers|,bristol myers|,"""","""",",","""bristol myers"","
AVGO,Broadcom,Information Technology,broadcom,|,broadcom|,broadcom|,"""","""",",","""broadcom"","
BF.B,Brown-Forman Corp.,Consumer Staples,brown forman,|,brown forman|,brown forman|,"""","""",",","""brown forman"","
BF.B,Brown-Forman Corp.,Consumer Staples,bfc,|,bfc|,bfc|,"""","""",",","""bfc"","
CHRW,C. H. Robinson Worldwide,Industrials,robinson worldwide,|,robinson worldwide|,robinson worldwide|,"""","""",",","""robinson worldwide"","
CA,"CA, Inc.",Information Technology,ca inc,|,ca inc|,ca inc|,"""","""",",","""ca inc"","
COG,Cabot Oil & Gas,Energy,cabot oil & gas,|,cabot oil & gas|,cabot oil & gas|,"""","""",",","""cabot oil & gas"","
CDNS,Cadence Design Systems,Information Technology,cadence design,|,cadence design|,cadence design|,"""","""",",","""cadence design"","
CPB,Campbell Soup,Consumer Staples,campbell soup,|,campbell soup|,campbell soup|,"""","""",",","""campbell soup"","
COF,Capital One Financial,Financials,capital one,|,capital one|,capital one|,"""","""",",","""capital one"","
CAH,Cardinal Health Inc.,Health Care,cardinal heath,|,cardinal heath|,cardinal heath|,"""","""",",","""cardinal heath"","
KMX,Carmax Inc,Consumer Discretionary,carmax,|,carmax|,carmax|,"""","""",",","""carmax"","
CCL,Carnival Corp.,Consumer Discretionary,carnival,|,carnival|,carnival|,"""","""",",","""carnival"","
CAT,Caterpillar Inc.,Industrials,caterpillar,|,caterpillar|,caterpillar|,"""","""",",","""caterpillar"","
CBOE,Cboe Global Markets,Financials,cboe global,|,cboe global|,cboe global|,"""","""",",","""cboe global"","
CBRE,CBRE Group,Real Estate,cbre,|,cbre|,cbre|,"""","""",",","""cbre"","
CBS,CBS Corp.,Consumer Discretionary,cbs,|,cbs|,cbs|,"""","""",",","""cbs"","
CELG,Celgene Corp.,Health Care,celgene,|,celgene|,celgene|,"""","""",",","""celgene"","
CNC,Centene Corporation,Health Care,centene,|,centene|,centene|,"""","""",",","""centene"","
CNP,CenterPoint Energy,Utilities,center point energy,|,center point energy|,center point energy|,"""","""",",","""center point energy"","
CTL,CenturyLink Inc,Telecommunication Services,century link,|,century link|,century link|,"""","""",",","""century link"","
CERN,Cerner,Health Care,cerner,|,cerner|,cerner|,"""","""",",","""cerner"","
CF,CF Industries Holdings Inc,Materials,cf industries holdings,|,cf industries holdings|,cf industries holdings|,"""","""",",","""cf industries holdings"","
SCHW,Charles Schwab Corporation,Financials,charles schwab,|,charles schwab|,charles schwab|,"""","""",",","""charles schwab"","
CHTR,Charter Communications,Consumer Discretionary,charter communications,|,charter communications|,charter communications|,"""","""",",","""charter communications"","
CVX,Chevron Corp.,Energy,chevron,|,chevron|,chevron|,"""","""",",","""chevron"","
CMG,Chipotle Mexican Grill,Consumer Discretionary,chipotle,|,chipotle|,chipotle|,"""","""",",","""chipotle"","
CB,Chubb Limited,Financials,chubb limited,|,chubb limited|,chubb limited|,"""","""",",","""chubb limited"","
CHD,Church & Dwight,Consumer Staples,church & dwight,|,church & dwight|,church & dwight|,"""","""",",","""church & dwight"","
CI,CIGNA Corp.,Health Care,cigna,|,cigna|,cigna|,"""","""",",","""cigna"","
XEC,Cimarex Energy,Energy,cimarex energy,|,cimarex energy|,cimarex energy|,"""","""",",","""cimarex energy"","
CINF,Cincinnati Financial,Financials,cincinnati financial,|,cincinnati financial|,cincinnati financial|,"""","""",",","""cincinnati financial"","
CTAS,Cintas Corporation,Industrials,cintas,|,cintas|,cintas|,"""","""",",","""cintas"","
CSCO,Cisco Systems,Information Technology,cisco,|,cisco|,cisco|,"""","""",",","""cisco"","
C,Citigroup Inc.,Financials,citigroup,|,citigroup|,citigroup|,"""","""",",","""citigroup"","
CFG,Citizens Financial Group,Financials,citizens financial,|,citizens financial|,citizens financial|,"""","""",",","""citizens financial"","
CTXS,Citrix Systems,Information Technology,citrix systems,|,citrix systems|,citrix systems|,"""","""",",","""citrix systems"","
CME,CME Group Inc.,Financials,cme group,|,cme group|,cme group|,"""","""",",","""cme group"","
CMS,CMS Energy,Utilities,cms energy,|,cms energy|,cms energy|,"""","""",",","""cms energy"","
KO,Coca-Cola Company (The),Consumer Staples,coke,|,coke|,coke|,"""","""",",","""coke"","
KO,Coca-Cola Company (The),Consumer Staples,coca cola,|,coca cola|,coca cola|,"""","""",",","""coca cola"","
CTSH,Cognizant Technology Solutions,Information Technology,cognizant technology,|,cognizant technology|,cognizant technology|,"""","""",",","""cognizant technology"","
CL,Colgate-Palmolive,Consumer Staples,colgate palmolive,|,colgate palmolive|,colgate palmolive|,"""","""",",","""colgate palmolive"","
CL,Colgate-Palmolive,Consumer Staples,colgate,|,colgate|,colgate|,"""","""",",","""colgate"","
CMCSA,Comcast Corp.,Consumer Discretionary,comcast,|,comcast|,comcast|,"""","""",",","""comcast"","
CMA,Comerica Inc.,Financials,comerica,|,comerica|,comerica|,"""","""",",","""comerica"","
CAG,Conagra Brands,Consumer Staples,conagra,|,conagra|,conagra|,"""","""",",","""conagra"","
CXO,Concho Resources,Energy,concho resources,|,concho resources|,concho resources|,"""","""",",","""concho resources"","
COP,ConocoPhillips,Energy,conoco phillips,|,conoco phillips|,conoco phillips|,"""","""",",","""conoco phillips"","
ED,Consolidated Edison,Utilities,consolidated edison,|,consolidated edison|,consolidated edison|,"""","""",",","""consolidated edison"","
STZ,Constellation Brands,Consumer Staples,constellation brands,|,constellation brands|,constellation brands|,"""","""",",","""constellation brands"","
GLW,Corning Inc.,Information Technology,corning,|,corning|,corning|,"""","""",",","""corning"","
COST,Costco Wholesale Corp.,Consumer Staples,costco,|,costco|,costco|,"""","""",",","""costco"","
COTY,"Coty, Inc",Consumer Staples,coty,|,coty|,coty|,"""","""",",","""coty"","
CCI,Crown Castle International Corp.,Real Estate,crown castle,|,crown castle|,crown castle|,"""","""",",","""crown castle"","
CSRA,CSRA Inc.,Information Technology,csra,|,csra|,csra|,"""","""",",","""csra"","
CSX,CSX Corp.,Industrials,csx,|,csx|,csx|,"""","""",",","""csx"","
CMI,Cummins Inc.,Industrials,cummins,|,cummins|,cummins|,"""","""",",","""cummins"","
CVS,CVS Health,Consumer Staples,cvs,|,cvs|,cvs|,"""","""",",","""cvs"","
DHI,D. R. Horton,Consumer Discretionary,dhi,|,dhi|,dhi|,"""","""",",","""dhi"","
DHR,Danaher Corp.,Health Care,danaher,|,danaher|,danaher|,"""","""",",","""danaher"","
DRI,Darden Restaurants,Consumer Discretionary,darden restaurants,|,darden restaurants|,darden restaurants|,"""","""",",","""darden restaurants"","
DVA,DaVita Inc.,Health Care,davita,|,davita|,davita|,"""","""",",","""davita"","
DE,Deere & Co.,Industrials,deere,|,deere|,deere|,"""","""",",","""deere"","
DAL,Delta Air Lines Inc.,Industrials,delta,|,delta|,delta|,"""","""",",","""delta"","
XRAY,Dentsply Sirona,Health Care,dentsply sirona,|,dentsply sirona|,dentsply sirona|,"""","""",",","""dentsply sirona"","
DVN,Devon Energy Corp.,Energy,devon energy,|,devon energy|,devon energy|,"""","""",",","""devon energy"","
DLR,Digital Realty Trust Inc,Real Estate,digital realty trust,|,digital realty trust|,digital realty trust|,"""","""",",","""digital realty trust"","
DFS,Discover Financial Services,Financials,discover financial,|,discover financial|,discover financial|,"""","""",",","""discover financial"","
DISCA,Discovery Inc. Class A,Consumer Discretionary,discovery,|,discovery|,discovery|,"""","""",",","""discovery"","
DISCK,Discovery Inc. Class C,Consumer Discretionary,discovery inc,|,discovery inc|,discovery inc|,"""","""",",","""discovery inc"","
DISH,Dish Network,Consumer Discretionary,dish network,|,dish network|,dish network|,"""","""",",","""dish network"","
DG,Dollar General,Consumer Discretionary,dollar general,|,dollar general|,dollar general|,"""","""",",","""dollar general"","
DLTR,Dollar Tree,Consumer Discretionary,dollar tree,|,dollar tree|,dollar tree|,"""","""",",","""dollar tree"","
D,Dominion Energy,Utilities,dominion energy,|,dominion energy|,dominion energy|,"""","""",",","""dominion energy"","
DOV,Dover Corp.,Industrials,dover corp,|,dover corp|,dover corp|,"""","""",",","""dover corp"","
DWDP,DowDuPont,Materials,dow dupont,|,dow dupont|,dow dupont|,"""","""",",","""dow dupont"","
DPS,Dr Pepper Snapple Group,Consumer Staples,dr pepper,|,dr pepper|,dr pepper|,"""","""",",","""dr pepper"","
DTE,DTE Energy Co.,Utilities,dte energy,|,dte energy|,dte energy|,"""","""",",","""dte energy"","
DUK,Duke Energy,Utilities,duke energy,|,duke energy|,duke energy|,"""","""",",","""duke energy"","
DRE,Duke Realty Corp,Real Estate,duke realty,|,duke realty|,duke realty|,"""","""",",","""duke realty"","
DXC,DXC Technology,Information Technology,dxc,|,dxc|,dxc|,"""","""",",","""dxc"","
ETFC,E*Trade,Financials,etrade,|,etrade|,etrade|,"""","""",",","""etrade"","
EMN,Eastman Chemical,Materials,eastman chemical,|,eastman chemical|,eastman chemical|,"""","""",",","""eastman chemical"","
ETN,Eaton Corporation,Industrials,eaton,|,eaton|,eaton|,"""","""",",","""eaton"","
EBAY,eBay Inc.,Information Technology,ebay,|,ebay|,ebay|,"""","""",",","""ebay"","
ECL,Ecolab Inc.,Materials,ecolab,|,ecolab|,ecolab|,"""","""",",","""ecolab"","
EIX,Edison Int'l,Utilities,edison international,|,edison international|,edison international|,"""","""",",","""edison international"","
EW,Edwards Lifesciences,Health Care,edwards lifesciences,|,edwards lifesciences|,edwards lifesciences|,"""","""",",","""edwards lifesciences"","
EA,Electronic Arts,Information Technology,electronic arts,|,electronic arts|,electronic arts|,"""","""",",","""electronic arts"","
EMR,Emerson Electric Company,Industrials,emerson electric,|,emerson electric|,emerson electric|,"""","""",",","""emerson electric"","
ETR,Entergy Corp.,Utilities,entergy,|,entergy|,entergy|,"""","""",",","""entergy"","
EVHC,Envision Healthcare,Health Care,envision healthcare,|,envision healthcare|,envision healthcare|,"""","""",",","""envision healthcare"","
EOG,EOG Resources,Energy,eog,|,eog|,eog|,"""","""",",","""eog"","
EQT,EQT Corporation,Energy,eqt,|,eqt|,eqt|,"""","""",",","""eqt"","
EFX,Equifax Inc.,Industrials,equifax,|,equifax|,equifax|,"""","""",",","""equifax"","
EQIX,Equinix,Real Estate,equinix,|,equinix|,equinix|,"""","""",",","""equinix"","
EQR,Equity Residential,Real Estate,equity residential,|,equity residential|,equity residential|,"""","""",",","""equity residential"","
ESS,"Essex Property Trust, Inc.",Real Estate,essex property trust,|,essex property trust|,essex property trust|,"""","""",",","""essex property trust"","
EL,Estee Lauder Cos.,Consumer Staples,estee lauder,|,estee lauder|,estee lauder|,"""","""",",","""estee lauder"","
RE,Everest Re Group Ltd.,Financials,everest group,|,everest group|,everest group|,"""","""",",","""everest group"","
ES,Eversource Energy,Utilities,eversource energy,|,eversource energy|,eversource energy|,"""","""",",","""eversource energy"","
EXC,Exelon Corp.,Utilities,exelon,|,exelon|,exelon|,"""","""",",","""exelon"","
EXPE,Expedia Inc.,Consumer Discretionary,expedia,|,expedia|,expedia|,"""","""",",","""expedia"","
EXPD,Expeditors International,Industrials,expeditors international,|,expeditors international|,expeditors international|,"""","""",",","""expeditors international"","
ESRX,Express Scripts,Health Care,express scripts,|,express scripts|,express scripts|,"""","""",",","""express scripts"","
EXR,Extra Space Storage,Real Estate,extra space storage,|,extra space storage|,extra space storage|,"""","""",",","""extra space storage"","
XOM,Exxon Mobil Corp.,Energy,exxon,|,exxon|,exxon|,"""","""",",","""exxon"","
XOM,Exxon Mobil Corp.,Energy,exxon mobil,|,exxon mobil|,exxon mobil|,"""","""",",","""exxon mobil"","
FFIV,F5 Networks,Information Technology,f5 networks,|,f5 networks|,f5 networks|,"""","""",",","""f5 networks"","
FB,"Facebook, Inc.",Information Technology,facebook,|,facebook|,facebook|,"""","""",",","""facebook"","
FAST,Fastenal Co,Industrials,fastenal,|,fastenal|,fastenal|,"""","""",",","""fastenal"","
FRT,Federal Realty Investment Trust,Real Estate,federal realty,|,federal realty|,federal realty|,"""","""",",","""federal realty"","
FDX,FedEx Corporation,Industrials,fedex,|,fedex|,fedex|,"""","""",",","""fedex"","
FIS,Fidelity National Information Services,Information Technology,fidelity national,|,fidelity national|,fidelity national|,"""","""",",","""fidelity national"","
FITB,Fifth Third Bancorp,Financials,fifth third,|,fifth third|,fifth third|,"""","""",",","""fifth third"","
FE,FirstEnergy Corp,Utilities,first energy,|,first energy|,first energy|,"""","""",",","""first energy"","
FISV,Fiserv Inc,Information Technology,fiserv,|,fiserv|,fiserv|,"""","""",",","""fiserv"","
FLIR,FLIR Systems,Information Technology,flir,|,flir|,flir|,"""","""",",","""flir"","
FLS,Flowserve Corporation,Industrials,flowserve,|,flowserve|,flowserve|,"""","""",",","""flowserve"","
FLR,Fluor Corp.,Industrials,fluor,|,fluor|,fluor|,"""","""",",","""fluor"","
FMC,FMC Corporation,Materials,fmc,|,fmc|,fmc|,"""","""",",","""fmc"","
FL,Foot Locker Inc,Consumer Discretionary,foot locker,|,foot locker|,foot locker|,"""","""",",","""foot locker"","
F,Ford Motor,Consumer Discretionary,ford,|,ford|,ford|,"""","""",",","""ford"","
FTV,Fortive Corp,Industrials,fortive,|,fortive|,fortive|,"""","""",",","""fortive"","
FBHS,Fortune Brands Home & Security,Industrials,fortune brands,|,fortune brands|,fortune brands|,"""","""",",","""fortune brands"","
BEN,Franklin Resources,Financials,franklin resources,|,franklin resources|,franklin resources|,"""","""",",","""franklin resources"","
FCX,Freeport-McMoRan Inc.,Materials,freeport mcmoran,|,freeport mcmoran|,freeport mcmoran|,"""","""",",","""freeport mcmoran"","
GPS,Gap Inc.,Consumer Discretionary,gap inc,|,gap inc|,gap inc|,"""","""",",","""gap inc"","
GRMN,Garmin Ltd.,Consumer Discretionary,garmin,|,garmin|,garmin|,"""","""",",","""garmin"","
IT,Gartner Inc,Information Technology,gartner,|,gartner|,gartner|,"""","""",",","""gartner"","
GD,General Dynamics,Industrials,general dynamics,|,general dynamics|,general dynamics|,"""","""",",","""general dynamics"","
GE,General Electric,Industrials,general electric,|,general electric|,general electric|,"""","""",",","""general electric"","
GGP,General Growth Properties Inc.,Real Estate,general growth properties,|,general growth properties|,general growth properties|,"""","""",",","""general growth properties"","
GIS,General Mills,Consumer Staples,general mills,|,general mills|,general mills|,"""","""",",","""general mills"","
GM,General Motors,Consumer Discretionary,general motors,|,general motors|,general motors|,"""","""",",","""general motors"","
GPC,Genuine Parts,Consumer Discretionary,genuine parts,|,genuine parts|,genuine parts|,"""","""",",","""genuine parts"","
GILD,Gilead Sciences,Health Care,gilead sciences,|,gilead sciences|,gilead sciences|,"""","""",",","""gilead sciences"","
GPN,Global Payments Inc.,Information Technology,global payments,|,global payments|,global payments|,"""","""",",","""global payments"","
GS,Goldman Sachs Group,Financials,goldman,|,goldman|,goldman|,"""","""",",","""goldman"","
GS,Goldman Sachs Group,Financials,goldman sachs,|,goldman sachs|,goldman sachs|,"""","""",",","""goldman sachs"","
GT,Goodyear Tire & Rubber,Consumer Discretionary,goodyear,|,goodyear|,goodyear|,"""","""",",","""goodyear"","
GWW,Grainger (W.W.) Inc.,Industrials,grainger,|,grainger|,grainger|,"""","""",",","""grainger"","
HAL,Halliburton Co.,Energy,halliburton,|,halliburton|,halliburton|,"""","""",",","""halliburton"","
HBI,Hanesbrands Inc,Consumer Discretionary,hanes,|,hanes|,hanes|,"""","""",",","""hanes"","
HOG,Harley-Davidson,Consumer Discretionary,harley,|,harley|,harley|,"""","""",",","""harley"","
HOG,Harley-Davidson,Consumer Discretionary,harley davidson,|,harley davidson|,harley davidson|,"""","""",",","""harley davidson"","
HRS,Harris Corporation,Information Technology,harris,|,harris|,harris|,"""","""",",","""harris"","
HIG,Hartford Financial Svc.Gp.,Financials,hartford financial,|,hartford financial|,hartford financial|,"""","""",",","""hartford financial"","
HAS,Hasbro Inc.,Consumer Discretionary,hasbro,|,hasbro|,hasbro|,"""","""",",","""hasbro"","
HCA,HCA Holdings,Health Care,hca,|,hca|,hca|,"""","""",",","""hca"","
HCP,HCP Inc.,Real Estate,hcp,|,hcp|,hcp|,"""","""",",","""hcp"","
HP,Helmerich & Payne,Energy,helmerich payne,|,helmerich payne|,helmerich payne|,"""","""",",","""helmerich payne"","
HSIC,Henry Schein,Health Care,henry schein,|,henry schein|,henry schein|,"""","""",",","""henry schein"","
HES,Hess Corporation,Energy,hess,|,hess|,hess|,"""","""",",","""hess"","
HPE,Hewlett Packard Enterprise,Information Technology,hpe,|,hpe|,hpe|,"""","""",",","""hpe"","
HPE,Hewlett Packard Enterprise,Information Technology,hewlett packard,|,hewlett packard|,hewlett packard|,"""","""",",","""hewlett packard"","
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,hilton,|,hilton|,hilton|,"""","""",",","""hilton"","
HOLX,Hologic,Health Care,hologic,|,hologic|,hologic|,"""","""",",","""hologic"","
HD,Home Depot,Consumer Discretionary,home depot,|,home depot|,home depot|,"""","""",",","""home depot"","
HON,Honeywell Int'l Inc.,Industrials,honeywell,|,honeywell|,honeywell|,"""","""",",","""honeywell"","
HRL,Hormel Foods Corp.,Consumer Staples,hormel foods,|,hormel foods|,hormel foods|,"""","""",",","""hormel foods"","
HST,Host Hotels & Resorts,Real Estate,host hotels,|,host hotels|,host hotels|,"""","""",",","""host hotels"","
HPQ,HP Inc.,Information Technology,hp,|,hp|,hp|,"""","""",",","""hp"","
HUM,Humana Inc.,Health Care,humana,|,humana|,humana|,"""","""",",","""humana"","
HBAN,Huntington Bancshares,Financials,huntington bancshares,|,huntington bancshares|,huntington bancshares|,"""","""",",","""huntington bancshares"","
HII,Huntington Ingalls Industries,Industrials,huntington ingalls,|,huntington ingalls|,huntington ingalls|,"""","""",",","""huntington ingalls"","
IDXX,IDEXX Laboratories,Health Care,idexx,|,idexx|,idexx|,"""","""",",","""idexx"","
INFO,IHS Markit Ltd.,Industrials,ihs markit,|,ihs markit|,ihs markit|,"""","""",",","""ihs markit"","
ITW,Illinois Tool Works,Industrials,illinois tool works,|,illinois tool works|,illinois tool works|,"""","""",",","""illinois tool works"","
ILMN,Illumina Inc,Health Care,illumina,|,illumina|,illumina|,"""","""",",","""illumina"","
INCY,Incyte,Health Care,incyte,|,incyte|,incyte|,"""","""",",","""incyte"","
IR,Ingersoll-Rand PLC,Industrials,ingersoll rand,|,ingersoll rand|,ingersoll rand|,"""","""",",","""ingersoll rand"","
INTC,Intel Corp.,Information Technology,intel corp,|,intel corp|,intel corp|,"""","""",",","""intel corp"","
ICE,Intercontinental Exchange,Financials,intercontinental exchange,|,intercontinental exchange|,intercontinental exchange|,"""","""",",","""intercontinental exchange"","
IBM,International Business Machines,Information Technology,ibm,|,ibm|,ibm|,"""","""",",","""ibm"","
